Pool,Title,Author,Publication Title,Vote_Reviewer_1,Vote_Reviewer_2,Agreement,Final_Decision,Rationale,Status
Pool 1 (Aravind & Joel),"Be friendly, not friends: How LLM sycophancy shapes user trust","Sun, Yuan; Wang, Ting",,Include,For Consideration,No,Include,Good info on sycophancy regarding LLMs,Resolved
Pool 1 (Aravind & Joel),Beacon: Single-turn diagnosis and mitigation of latent sycophancy in large language models,"Pandey, Sanskar; Chopra, Ruhaan; Puniya, Angkul; Pal, Sohom",,Exclude,For Consideration,No,Include,(LEAN INCLUDE) - good info on mitigating sycophancy,Resolved
Pool 1 (Aravind & Joel),Behavioral Fingerprinting of Large Language Models,"Pei, Zehua; Zhen, Hui-Ling; Zhang, Ying; Yang, Zhiyuan; Li, Xing; Yu, Xianzhi; Yuan, Mingxuan; Yu, Bei",,Exclude,For Consideration,No,Exclude,Not really an empirical research - more performance related,Resolved
Pool 1 (Aravind & Joel),Benchmarking egocentric clinical intent understanding capability for medical Multimodal Large Language Models,"Liu, Shaonan; Yu, Guo; Luo, Xiaoling; Zheng, Shiyi; Chen, Wenting; Liu, Jie; Shen, Linlin",,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Beyond COPPA: A proposed Age-Appropriate AI Design Code for Children in the MENA Region,"Mahfouz, Ahmed; Alfadil, Maab; Al-Bahriya, Abeer; Al-Siyabi, Noor",2025 International Conference on Computer and Applications (ICCA),Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Beyond Persuasion: Adaptive Warnings and Balanced Explanations for Informed Decision-Making in Recommender Systems,"Jafari, Elaheh",Proceedings of the Nineteenth ACM Conference on Recommender Systems,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Beyond Scripted Apologies: Calibrating Trust with Dynamically Generated Responses,"Perkins, R.; Robinette, P.",,Include,Exclude,No,Include,Good info on dynamic generate (RQ1) on trust,Resolved
Pool 1 (Aravind & Joel),Beyond Technical Transparency: Explainability as a Safeguard Against Manipulative AI*,"Petrocchi, Ermanno; Tiribelli, Simona; Buzcu, Berk; Pacioni, Elia; Calvaresi, Davide","2025 IEEE International Conference on Metrology for eXtended Reality, Artificial Intelligence and Neural Engineering (MetroXRAINE)",Include,Include,Yes,Include,,Agreed
Pool 1 (Aravind & Joel),"Beyond automation: Rethinking work, creativity, and governance in the age of generative AI","Lin, Haocheng",,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Beyond reward hacking: Causal rewards for large language model alignment,"Wang, Chaoqi; Zhao, Zhuokai; Jiang, Yibo; Chen, Zhaorun; Zhu, Chen; Chen, Yuxin; Liu, Jiayi; Zhang, Lizhu; Fan, Xiangjun; Ma, Hao; Wang, Sinong",,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Beyond the Benefits: A Systematic Review of the Harms and Consequences of Generative AI in Computing Education,"Bernstein, Seth; Rahman, Ashfin; Sharifi, Nadia; Terbish, Ariunjargal; MacNeil, Stephen",Proceedings of the 25th Koli Calling International Conference on Computing Education Research,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Blockchain for Large Language Model Security and Safety: A Holistic Survey,"Geren, Caleb; Board, Amanda; Dagher, Gaby G.; Andersen, Tim; Zhuang, Jun",SIGKDD Explor. Newsl.,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Bridging Explainability and Interactivity to foster Trust and increase Interpretability in AI-systems: A Comparative Study on Explainability and Feedback Mechanisms in AI-based OCR,"Fries, Marco; Sauter, Louisa Maria; Nießner, Julia; Keyser, Markus; Ludwig, Thomas",Proceedings of the Mensch Und Computer 2025,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Bridging Generations using AI-Supported Co-Creative Activities,"Kim, Callie Y.; Sato, Arissa J.; White, Nathan Thomas; Ho, Hui-Ru; Lee, Christine P.; Hwang, Yuna; Mutlu, Bilge",Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Bridging mechanistic interpretability and prompt engineering with gradient ascent for interpretable persona control,"Saini, Harshvardhan; Tang, Yiming; Liu, Dianbo",,Exclude,For Consideration,No,Exclude,Slightly too technical + not really an empirical HCI study,Resolved
Pool 1 (Aravind & Joel),BrokenMath: A benchmark for sycophancy in theorem proving with LLMs,"Petrov, Ivo; Dekoninck, Jasper; Vechev, Martin",,Exclude,For Consideration,No,Exclude,Too narrowed down in math domain + still decent application,Resolved
Pool 1 (Aravind & Joel),Building Bridges in Robotics – Ideation and Design of a B2B-Platform to Connect Robotics Providers and Enquirers,"Kubullek, Ann-Kathrin; Beder, Matheea; Klicic, Medina; Roth, Simone; Dogangün, Aysegül",Proceedings of the 37th Australian Conference on Human-Computer Interaction,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Building Trustworthy Human-Centric Autonomous Systems Via Explanations,"Gyevnar, B.",,Exclude,Exclude,Yes,Exclude,,Agreed
